track_id,playlist_id,track_name,added_at,popularity,duration_ms,explicit
7u5fFWlc7P46XWECmhyqNo,7mGl5bOLbUBBblzu7zHXYh,Bitch I'm Nice,2024-01-15T22:13:10Z,59,87037,True
3QKKtAgmUkgt4uKpX5Hmlf,7mGl5bOLbUBBblzu7zHXYh,Spookie Coochie,2024-01-28T03:33:23Z,58,168620,True
6eVM9lCmIqwGTUOoeH61Lu,7mGl5bOLbUBBblzu7zHXYh,Hug Me,2024-01-30T07:18:41Z,66,140733,False
34TufQ4EFzmDIFXJ3A8Yau,7mGl5bOLbUBBblzu7zHXYh,Flamingo,2024-01-31T05:50:03Z,58,197528,False
6dPyzkyZwoj9LqjQXOFdVv,7mGl5bOLbUBBblzu7zHXYh,Press,2024-02-09T06:48:00Z,66,143791,True
66ZcOcouenzZEnzTJvoFmH,7mGl5bOLbUBBblzu7zHXYh,The Sweet Escape,2024-02-16T03:47:13Z,77,246466,False
5FOHBhUtWl2x5Z6qflA8nd,4SkP2EZ0enItSryROY3nVn,Romeo + Juliet (arr. P. Bateman): Romeo and Juliet: The Balcony Scene (arr. P. Bateman for piano and orchestra),2023-12-14T22:26:20Z,49,349920,False
3MJhPqL2IgGs7gHEB2M35q,7616W1uj1OqNPrCNJdUkCE,Hard to Love,2023-04-16T18:03:01Z,72,162569,True
3CblJq8QQQ0bb7vwJu8c3v,7616W1uj1OqNPrCNJdUkCE,4EVA (feat. Pharrell Williams),2023-04-22T23:59:17Z,61,190373,True
3AAY8YicetRPlDAkibHLiS,7616W1uj1OqNPrCNJdUkCE,Jaded,2023-04-23T00:35:26Z,30,185933,True
1dvqHhLNccePPBHq11TW7v,7616W1uj1OqNPrCNJdUkCE,Fantasy (feat. Don Toliver),2023-04-23T00:35:46Z,72,178274,False
0ofHAoxe9vBkTCp2UQIavz,7616W1uj1OqNPrCNJdUkCE,Dreams - 2004 Remaster,2023-04-23T16:42:59Z,89,257800,False
6OylYIXrIH2E3hgg7Dqz5M,7616W1uj1OqNPrCNJdUkCE,You'll Never Find Another Love Like Mine,2023-04-23T20:38:59Z,67,266200,False
6EidGY4S6hkU6fwNdSSabg,7616W1uj1OqNPrCNJdUkCE,Oh Sheit it's X,2023-04-23T20:44:36Z,51,227086,True
04CqLjewJiSAqM210vZAmT,7616W1uj1OqNPrCNJdUkCE,River,2023-04-28T06:02:12Z,25,162973,False
0Fl4eWzVaMUOdXcOrj6F1q,7616W1uj1OqNPrCNJdUkCE,VIRGO'S GROOVE,2023-04-29T21:52:09Z,71,368758,True
4DByEumlGTZKSzuVEZ35eo,7616W1uj1OqNPrCNJdUkCE,PURE/HONEY,2023-04-29T21:52:19Z,73,288254,True
62tGzw9OJOwDcjPBnMPCuj,7616W1uj1OqNPrCNJdUkCE,No More Lies,2023-04-29T21:56:52Z,69,327217,False
6xkryXuiZU360Lngd4sx13,7616W1uj1OqNPrCNJdUkCE,Fantasy,2023-04-29T23:42:55Z,80,243493,False
0KlahhzNb98zyN83Vwae0l,7616W1uj1OqNPrCNJdUkCE,Untouched,2023-04-30T01:51:52Z,68,255360,False
6ekoBPfdfnWhQ8oJveaZSk,7616W1uj1OqNPrCNJdUkCE,Pair Of You,2023-04-30T03:14:28Z,26,144128,False
5EAbUR2kkfDOCWEcWcb7YG,7616W1uj1OqNPrCNJdUkCE,Pearls,2023-05-08T05:02:49Z,56,243106,False
40bgBzGrYBURVjiQ4itEkh,7616W1uj1OqNPrCNJdUkCE,Hello Love,2023-05-08T05:09:08Z,52,282666,False
73RbfOTJIjHzi2pcVHjeHM,7616W1uj1OqNPrCNJdUkCE,What It Is (Solo Version),2023-05-14T16:04:57Z,83,189824,True
5KZVbtDMFcurkynWsncKtr,7616W1uj1OqNPrCNJdUkCE,Summertime,2023-05-14T16:11:37Z,59,147539,False
6IhkXHtj7tJg5waF4utfX0,7616W1uj1OqNPrCNJdUkCE,Lipstick Lover,2023-05-21T16:54:34Z,47,169386,False
3unpulZnIiKRZ4MCymHfXx,7616W1uj1OqNPrCNJdUkCE,Smoke (feat. Lucky Daye),2023-05-21T16:56:17Z,58,186157,True
3HIdbLmJpg6aPULSgCBmNn,7616W1uj1OqNPrCNJdUkCE,Vibe Like This (feat. Ty Dolla $ign & Lucky Daye),2023-05-21T17:32:20Z,47,227435,True
5iDrSIUAbuajDctFTGRRiR,7616W1uj1OqNPrCNJdUkCE,Phenomenal (feat. Doechii),2023-06-10T18:09:49Z,54,217792,True
6Alp15t6urC4opjJiyOqZu,7616W1uj1OqNPrCNJdUkCE,Vicious,2023-06-12T16:47:50Z,71,149890,True
1RAeuvRyRzCweAK3jUT0ZW,7616W1uj1OqNPrCNJdUkCE,bet u wanna,2023-06-12T17:08:12Z,64,191025,False
6n05BgVkxxz2k5ICZYa2PH,7616W1uj1OqNPrCNJdUkCE,Fast Times,2023-06-12T17:12:13Z,64,174539,True
6kIgzGx7gH0qAKTFTF5GsU,7616W1uj1OqNPrCNJdUkCE,Only Have Eyes 42,2023-06-13T15:00:09Z,57,170026,False
6UqXG0iFfc35rB5asEAwLC,7616W1uj1OqNPrCNJdUkCE,Green Papaya,2023-06-18T07:45:55Z,0,245613,False
6dET51TwAJPrKV5wmA5Vhr,7616W1uj1OqNPrCNJdUkCE,Dontcha,2023-06-27T14:27:20Z,58,201640,False
3k79jB4aGmMDUQzEwa46Rz,7616W1uj1OqNPrCNJdUkCE,vampire,2023-06-30T05:15:43Z,40,219724,True
7KA4W4McWYRpgf0fWsJZWB,7616W1uj1OqNPrCNJdUkCE,See You Again (feat. Kali Uchis),2023-06-30T21:34:43Z,92,180386,True
5sdQOyqq2IDhvmx2lHOpwd,7616W1uj1OqNPrCNJdUkCE,Super Shy,2023-07-15T17:27:59Z,89,154666,False
6vz3Fyhj6smbuYuaIZHksu,7616W1uj1OqNPrCNJdUkCE,Too Fast (Pull Over) (with Anderson .Paak & Latto),2023-07-27T17:08:59Z,55,226542,True
1GPrL6feCYodRiYlZkXs5I,7616W1uj1OqNPrCNJdUkCE,Home (From Barbie The Album),2023-07-27T17:36:04Z,47,226057,False
3fzgNtmdpVhHM6r3cnJOt5,7616W1uj1OqNPrCNJdUkCE,Rake Me Over the Coals,2023-07-27T18:18:12Z,17,221908,True
