track_id,artist_id
6W65jVdn0JtttcvFN1KppC,1eEfMU2AhEo7XnKgL7c304
7enVhl0fuHvQ4ErXvAXYIH,5YGY8feqx7naU7z4HrwZM6
5umJVEAPT2SocCoB99ZoaH,6XpaIBNiVzIetEPCWDvAFP
4ukUoXLuFzMixyZyabSGc4,5V0MlUE1Bft0mbLlND7FJz
1vZKP9XURuqMp1SpXGnoyb,1AwO9pWEBSBoWdEZu28XDC
4lcOoKiLjBddCcg9FkeIJL,6Q192DXotxtaysaqNPy5yR
28fuXrmmF9dYWx25dMW9dP,4cPHsZM98sKzmV26wlwD2W
71azyw4EJDlGru5Uw6DGzT,6JL8zeS1NmiOftqZTRgdTz
65IJQ0yXkKcS6zh5ZCJoPe,32vWCbZh0xZ4o9gkz4PsEU
65IJQ0yXkKcS6zh5ZCJoPe,5W5bDNCqJ1jbCgTxDD0Cb3
2FRnf9qhLbvw8fu4IBXx78,5lpH0xAS4fVfLkACg9DAuM
0lizgQ7Qw35od7CYaoMBZb,66CXWjxzNUsdJxJ2JdwvnR
1LmkdWSxjCV7wKTPsCvYWN,7gW0r5CkdEUMm42w9XpyZO
012mGdSYIBEmERuScm2iOl,2iE18Oxc8YSumAU232n4rW
3YZE5qDV7u1ZD1gZc47ZeR,3BmGtnKgCSGYIUhmivXKWX
20emy72iC2fMojujwCI6MN,6ZjFtWeHP9XN7FeKSUe80S
20emy72iC2fMojujwCI6MN,2NCGI6dLTxLdI9XHdv7QfM
6ZgigeSB0XUMqc0jjzaq6d,5Gejwv3xz2DpLcxVpMD6hL
0rzY0whyLE68ENX7mvoHAN,2GEW6nJjHKAFyqnsE3TdWx
0rzY0whyLE68ENX7mvoHAN,7hYKC5uBED0V5rpKQkqgQ5
0oPdaY4dXtc3ZsaG17V972,7K78lVZ8XzkjfRSI7570FF
7yogx3TwxGwSxO2QITsT2q,74KM79TiuVKeVCqs8QtB0B
2O3MQ6H3gjrIWDcpeTrikT,3BmGtnKgCSGYIUhmivXKWX
2O3MQ6H3gjrIWDcpeTrikT,66CXWjxzNUsdJxJ2JdwvnR
0WbhjZjAX5jD3PXWz7FGL8,6VUdDU44uo3KwSHc9lAEFE
7MQywXGHEev7JmwwIzMcao,5NDMothbpdpq2xHqSjrrWn
5ldINBZXmoh6qoAzwXl5wX,6O74knDqdv3XaWtkII7Xjp
6gdhHMWUv1pvkOHqCUGvCp,0urTpYCsixqZwgNTkPJOJ4
2vXgyN14LX2zl7JEASw242,2cWZOOzeOm4WmBJRnD5R7I
2vXgyN14LX2zl7JEASw242,4kYSro6naA4h99UJvo89HB
3XKIUb7HzIF1Vu9usunMzc,6GI52t8N5F02MxU0g5U69P
3XKIUb7HzIF1Vu9usunMzc,782IpIScTpnDhYb9hyxOu1
45XhKYRRkyeqoW3teSOkCM,0QHgL1lAIqAw0HtD7YldmP
45XhKYRRkyeqoW3teSOkCM,5pKCCKE2ajJHZ9KAiaK11H
45XhKYRRkyeqoW3teSOkCM,2EMAnMvWE2eb56ToJVfCWs
31Tc7yXfBJkxQZIsHgMELq,5wLCYIHgd7kXSFEf1oOh8R
6UBQONiLH8kNmmB8UrV2Ef,1m24736Bdew1oQVxTePOCo
6xkryXuiZU360Lngd4sx13,4iHNK0tOyZPYnBU7nGAgpQ
2SXRFmLvNjOTuL9eCYWsrx,57AKOY1SF1062tuVzgAPv8
2mqTtvbKxH7SoEQ2oGAnsA,6vWDO969PvNqNYHIOW5v0m
2R0zbd80CqwoB0ORDCqDoK,6gYjIUFuKIBVJfxXnmrd5P
6j8rjIqqZkKnc0VzLjIN3J,08PvCOlef4xdOr20jFSTPd
0O6u0VJ46W86TxN9wgyqDj,246dkjvS1zLTtiykXe5h60
0O6u0VJ46W86TxN9wgyqDj,5cj0lLjcoR7YOSnhnX0Po5
7fYRg3CEbk6rNCuzNzMT06,7CajNmpbOovFoOoasH2HaY
7fYRg3CEbk6rNCuzNzMT06,6M2wZ9GZgrQXHCFfjv46we
7fYRg3CEbk6rNCuzNzMT06,50co4Is1HCEo8bhOyUWKpn
2eAcey7KS6TmHulCNjxABW,0DbBBj0ScPumRqKXswGQH1
6eVM9lCmIqwGTUOoeH61Lu,2RdwBSPQiwcmiDo9kixcl8
6eVM9lCmIqwGTUOoeH61Lu,0NnoRcD3WkqC9aouHyE8YY
79nkN1EmB1B03uZi9DcS4w,0NB5HROxc8dDBXpkIi1v3d
1qEmFfgcLObUfQm0j1W2CK,6KImCVD70vtIoJWnq6nGn3
1BkY0N8ChFk2mdLbAUu8ZK,2CuzDPkRD6BJBvdWqCrt2I
2PDgArI0p7UkeYgXWuqpmh,3wcj11K77LjEY1PkEazffa
2KukL7UlQ8TdvpaA7bY3ZJ,6vWDO969PvNqNYHIOW5v0m
4efHJDBcmhJYs8n9hJcVC8,5CXdWANGwYYRPClH6hhC0P
6a44RET0b0enJMb5PVQlr8,4QQgXkCYTt3BlENzhyNETg
28JBD8p18xNuOfyV7Cotdn,3TVXtAsR1Inumwj472S9r4
3k3NWokhRRkEPhCzPmV8TW,4q3ewBCX7sLwd24euuV69X
3k3NWokhRRkEPhCzPmV8TW,5n9bMYfz9qss2VOW89EVs2
0F2gXzgbzLvK9LrS7yKS8Q,1kMPdZQVdUhMDKDWOJM5iK
6zlIN2RRLiNzitagYR44m0,5qfkUSH3ip5dD2eEPhjkT3
6zlIN2RRLiNzitagYR44m0,1kMPdZQVdUhMDKDWOJM5iK
0whGWOBySGYL6ef1GZAnVy,3xPCFC8f7U3raEXOXQ3MrE
3aw9iWUQ3VrPQltgwvN9Xu,1XkoF8ryArs86LZvFOkbyr
1nmypDEMIhxlgvZViMUmoZ,3AuMNF8rQAKOzjYppFNAoB
1tyGqOo8VRLDVQETLtMyDS,0tbeZu9lv8YEKSQ9tZSslu
1RAeuvRyRzCweAK3jUT0ZW,74KM79TiuVKeVCqs8QtB0B
0kE7VDZD71YhnuxjtSHmah,4UYsrMSqpG1Sgj2TFesI41
67v2UHujFruxWrDmjPYxD6,4E2rKHVDssGJm2SCDOMMJB
67v2UHujFruxWrDmjPYxD6,7tYKF4w9nC0nq9CsPZTHyP
7cWLl1E5iMvqIVhpmtUp6k,6sFIWsNpZYqfjUpaCgueju
1Ox4v6gCBk0iOVtvshkXR3,3fmMaLC5jjf2N4EC2kTx0u
