id,name,followers_total,popularity,external_urls_spotify
06Iig2bqY8mv98B1c9Iyo8,The Mary Onettes,17890,27,https://open.spotify.com/artist/06Iig2bqY8mv98B1c9Iyo8
4UpA1KitN1RgIZVyWDbZ0U,DOMi & JD BECK,157508,46,https://open.spotify.com/artist/4UpA1KitN1RgIZVyWDbZ0U
6tpaMMCs8X6o8j9H5OmWmT,Yaya Bey,77404,57,https://open.spotify.com/artist/6tpaMMCs8X6o8j9H5OmWmT
6l7R1jntPahGxwJt7Tky8h,Obongjayar,87263,62,https://open.spotify.com/artist/6l7R1jntPahGxwJt7Tky8h
6O5k8LLRfDK8v9jj1GazAQ,Nubya Garcia,100552,38,https://open.spotify.com/artist/6O5k8LLRfDK8v9jj1GazAQ
3PRli833wyTmzJrKQGNOKj,Terence Etc.,4847,18,https://open.spotify.com/artist/3PRli833wyTmzJrKQGNOKj
1vaQ6v3pOFxAIrFoPrAcom,Ari Lennox,736307,62,https://open.spotify.com/artist/1vaQ6v3pOFxAIrFoPrAcom
57LYzLEk2LcFghVwuWbcuS,Summer Walker,5955632,79,https://open.spotify.com/artist/57LYzLEk2LcFghVwuWbcuS
4596e2d3KmYzAeVenjCxfj,Free Nationals,275849,61,https://open.spotify.com/artist/4596e2d3KmYzAeVenjCxfj
2oZcMYiKpjaA2Et5mU3RPP,Chronixx,523397,60,https://open.spotify.com/artist/2oZcMYiKpjaA2Et5mU3RPP
4A2ptrgQSJtQrbfltEpoCR,Jst Ray,252,21,https://open.spotify.com/artist/4A2ptrgQSJtQrbfltEpoCR
74CcYmmNeHKe5PrZaISk8e,Hope Tala,161265,49,https://open.spotify.com/artist/74CcYmmNeHKe5PrZaISk8e
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,8084003,79,https://open.spotify.com/artist/7ltDVBr6mKbRvohxheJ9h1
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,78325717,95,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
3wws8s15DuuQWiG2xct414,Chris Crack,26253,41,https://open.spotify.com/artist/3wws8s15DuuQWiG2xct414
3sGyf3EDcvQ4PB9AGIg84M,OSHUN,144615,34,https://open.spotify.com/artist/3sGyf3EDcvQ4PB9AGIg84M
6atGQM99IrRfUefJFore1B,Junglepussy,181939,38,https://open.spotify.com/artist/6atGQM99IrRfUefJFore1B
3sHS70DMNgPxRqx2fUNrRA,QUIN,43657,43,https://open.spotify.com/artist/3sHS70DMNgPxRqx2fUNrRA
6qQANHDxlpq5OEz47UBzMJ,Aliah Sheffield,13237,31,https://open.spotify.com/artist/6qQANHDxlpq5OEz47UBzMJ
6YJmIS23jxjp6Edi2zTPzn,Ana Mazzotti,9699,35,https://open.spotify.com/artist/6YJmIS23jxjp6Edi2zTPzn
6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,1192709,60,https://open.spotify.com/artist/6nB0iY1cjSY1KyhYyuIIKH
1anAI9P9iSzc9qzLv6AtHZ,Sure Sure,125433,50,https://open.spotify.com/artist/1anAI9P9iSzc9qzLv6AtHZ
1JspXUvEv3D9ddMeLNqYWj,flowerovlove,51819,48,https://open.spotify.com/artist/1JspXUvEv3D9ddMeLNqYWj
2wIVse2owClT7go1WT98tk,Missy Elliott,2375863,70,https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk
581C5Qwl87TskfBEzuoisu,Cafuné,233778,65,https://open.spotify.com/artist/581C5Qwl87TskfBEzuoisu
3M3wTTCDwicRubwMyHyEDy,Shygirl,233342,55,https://open.spotify.com/artist/3M3wTTCDwicRubwMyHyEDy
2RqrWplViWHSGLzlhmDcbt,Yaeji,407930,50,https://open.spotify.com/artist/2RqrWplViWHSGLzlhmDcbt
3J0BpFVUc9LeOIVeN5uNhU,Lauren Jauregui,1282580,52,https://open.spotify.com/artist/3J0BpFVUc9LeOIVeN5uNhU
5SHgclK1ZpTdfdAmXW7J6s,The Last Dinner Party,159437,61,https://open.spotify.com/artist/5SHgclK1ZpTdfdAmXW7J6s
6PgkNi6EyAfgiKtFwAwvbH,Hailey Knox,93253,44,https://open.spotify.com/artist/6PgkNi6EyAfgiKtFwAwvbH
3uX1tstdmFJyxW9b5mSNlU,Automatic,54193,41,https://open.spotify.com/artist/3uX1tstdmFJyxW9b5mSNlU
2qnpHrOzdmOo1S4ox3j17x,Turnstile,499057,59,https://open.spotify.com/artist/2qnpHrOzdmOo1S4ox3j17x
65dGLGjkw3UbddUg2GKQoZ,BADBADNOTGOOD,730531,61,https://open.spotify.com/artist/65dGLGjkw3UbddUg2GKQoZ
