artist_id,genre
4wLAjfeqAsV66AocWNcowA,reggae fusion
0ldU0QJm31y0d6f57R1G2A,bebop
0ldU0QJm31y0d6f57R1G2A,contemporary post-bop
0ldU0QJm31y0d6f57R1G2A,jazz
0ldU0QJm31y0d6f57R1G2A,jazz trio
3DtSOCXYU6o4EV0K1NgIKq,bebop
3DtSOCXYU6o4EV0K1NgIKq,contemporary post-bop
3DtSOCXYU6o4EV0K1NgIKq,jazz
3DtSOCXYU6o4EV0K1NgIKq,jazz piano
3DtSOCXYU6o4EV0K1NgIKq,stride
3DtSOCXYU6o4EV0K1NgIKq,vintage jazz
5V0MlUE1Bft0mbLlND7FJz,adult standards
5V0MlUE1Bft0mbLlND7FJz,jazz
5V0MlUE1Bft0mbLlND7FJz,jazz blues
5V0MlUE1Bft0mbLlND7FJz,soul
5V0MlUE1Bft0mbLlND7FJz,swing
5V0MlUE1Bft0mbLlND7FJz,vocal jazz
0NB5HROxc8dDBXpkIi1v3d,indie pop
0NB5HROxc8dDBXpkIi1v3d,modern alternative pop
1l8Fu6IkuTP0U5QetQJ5Xt,girl group
1l8Fu6IkuTP0U5QetQJ5Xt,pop
1l8Fu6IkuTP0U5QetQJ5Xt,talent show
7v4imS0moSyGdXyLgVTIV7,adult standards
7v4imS0moSyGdXyLgVTIV7,lounge
7v4imS0moSyGdXyLgVTIV7,soul
7v4imS0moSyGdXyLgVTIV7,swing
7v4imS0moSyGdXyLgVTIV7,vocal jazz
1eEfMU2AhEo7XnKgL7c304,adult standards
1eEfMU2AhEo7XnKgL7c304,mellow gold
1eEfMU2AhEo7XnKgL7c304,soft rock
6Ff53KvcvAj5U7Z1vojB5o,boy band
6Ff53KvcvAj5U7Z1vojB5o,dance pop
6Ff53KvcvAj5U7Z1vojB5o,pop
6XpaIBNiVzIetEPCWDvAFP,dance pop
6XpaIBNiVzIetEPCWDvAFP,pop
1AwO9pWEBSBoWdEZu28XDC,torch song
1AwO9pWEBSBoWdEZu28XDC,vocal jazz
6Q192DXotxtaysaqNPy5yR,british soul
6Q192DXotxtaysaqNPy5yR,neo soul
4cPHsZM98sKzmV26wlwD2W,adult standards
4cPHsZM98sKzmV26wlwD2W,lounge
4cPHsZM98sKzmV26wlwD2W,rockabilly
6JL8zeS1NmiOftqZTRgdTz,hip pop
6JL8zeS1NmiOftqZTRgdTz,pop
32vWCbZh0xZ4o9gkz4PsEU,classic country pop
32vWCbZh0xZ4o9gkz4PsEU,country
32vWCbZh0xZ4o9gkz4PsEU,country dawn
5W5bDNCqJ1jbCgTxDD0Cb3,classic country pop
5W5bDNCqJ1jbCgTxDD0Cb3,classic texas country
5W5bDNCqJ1jbCgTxDD0Cb3,country
5W5bDNCqJ1jbCgTxDD0Cb3,country rock
5W5bDNCqJ1jbCgTxDD0Cb3,nashville sound
5W5bDNCqJ1jbCgTxDD0Cb3,outlaw country
5W5bDNCqJ1jbCgTxDD0Cb3,singer-songwriter
5lpH0xAS4fVfLkACg9DAuM,new romantic
5lpH0xAS4fVfLkACg9DAuM,new wave pop
5lpH0xAS4fVfLkACg9DAuM,soft rock
66CXWjxzNUsdJxJ2JdwvnR,pop
7gW0r5CkdEUMm42w9XpyZO,gen z singer-songwriter
2iE18Oxc8YSumAU232n4rW,motown
2iE18Oxc8YSumAU232n4rW,soul
3BmGtnKgCSGYIUhmivXKWX,dance pop
3BmGtnKgCSGYIUhmivXKWX,pop
3BmGtnKgCSGYIUhmivXKWX,talent show
6ZjFtWeHP9XN7FeKSUe80S,adult standards
6ZjFtWeHP9XN7FeKSUe80S,easy listening
6ZjFtWeHP9XN7FeKSUe80S,lounge
2NCGI6dLTxLdI9XHdv7QfM,adult standards
2NCGI6dLTxLdI9XHdv7QfM,swing
2NCGI6dLTxLdI9XHdv7QfM,torch song
2NCGI6dLTxLdI9XHdv7QfM,vocal harmony group
5Gejwv3xz2DpLcxVpMD6hL,movie tunes
7hYKC5uBED0V5rpKQkqgQ5,acoustic blues
7K78lVZ8XzkjfRSI7570FF,latin pop
7K78lVZ8XzkjfRSI7570FF,puerto rican pop
6VUdDU44uo3KwSHc9lAEFE,gospel
5NDMothbpdpq2xHqSjrrWn,contemporary r&b
5NDMothbpdpq2xHqSjrrWn,hip pop
5NDMothbpdpq2xHqSjrrWn,r&b
5NDMothbpdpq2xHqSjrrWn,urban contemporary
6O74knDqdv3XaWtkII7Xjp,boy band
6O74knDqdv3XaWtkII7Xjp,contemporary r&b
6O74knDqdv3XaWtkII7Xjp,new jack swing
6O74knDqdv3XaWtkII7Xjp,r&b
6O74knDqdv3XaWtkII7Xjp,urban contemporary
0urTpYCsixqZwgNTkPJOJ4,contemporary r&b
0urTpYCsixqZwgNTkPJOJ4,dance pop
0urTpYCsixqZwgNTkPJOJ4,hip pop
0urTpYCsixqZwgNTkPJOJ4,r&b
0urTpYCsixqZwgNTkPJOJ4,urban contemporary
2cWZOOzeOm4WmBJRnD5R7I,pop
2cWZOOzeOm4WmBJRnD5R7I,r&b
6GI52t8N5F02MxU0g5U69P,blues rock
6GI52t8N5F02MxU0g5U69P,classic rock
6GI52t8N5F02MxU0g5U69P,mexican classic rock
0QHgL1lAIqAw0HtD7YldmP,hip hop
0QHgL1lAIqAw0HtD7YldmP,miami hip hop
0QHgL1lAIqAw0HtD7YldmP,pop rap
0QHgL1lAIqAw0HtD7YldmP,rap
5pKCCKE2ajJHZ9KAiaK11H,barbadian pop
5pKCCKE2ajJHZ9KAiaK11H,pop
5pKCCKE2ajJHZ9KAiaK11H,urban contemporary
2EMAnMvWE2eb56ToJVfCWs,kentucky hip hop
2EMAnMvWE2eb56ToJVfCWs,r&b
2EMAnMvWE2eb56ToJVfCWs,rap
5wLCYIHgd7kXSFEf1oOh8R,classic soul
1m24736Bdew1oQVxTePOCo,dance rock
1m24736Bdew1oQVxTePOCo,new wave
1m24736Bdew1oQVxTePOCo,no wave
57AKOY1SF1062tuVzgAPv8,new wave pop
08PvCOlef4xdOr20jFSTPd,viral rap
246dkjvS1zLTtiykXe5h60,dfw rap
246dkjvS1zLTtiykXe5h60,melodic rap
246dkjvS1zLTtiykXe5h60,pop
246dkjvS1zLTtiykXe5h60,rap
5cj0lLjcoR7YOSnhnX0Po5,dance pop
5cj0lLjcoR7YOSnhnX0Po5,pop
7CajNmpbOovFoOoasH2HaY,dance pop
7CajNmpbOovFoOoasH2HaY,edm
7CajNmpbOovFoOoasH2HaY,electro house
7CajNmpbOovFoOoasH2HaY,house
7CajNmpbOovFoOoasH2HaY,pop
7CajNmpbOovFoOoasH2HaY,pop dance
7CajNmpbOovFoOoasH2HaY,progressive house
7CajNmpbOovFoOoasH2HaY,uk dance
6M2wZ9GZgrQXHCFfjv46we,dance pop
6M2wZ9GZgrQXHCFfjv46we,pop
6M2wZ9GZgrQXHCFfjv46we,uk pop
50co4Is1HCEo8bhOyUWKpn,atl hip hop
50co4Is1HCEo8bhOyUWKpn,atl trap
50co4Is1HCEo8bhOyUWKpn,gangster rap
50co4Is1HCEo8bhOyUWKpn,melodic rap
50co4Is1HCEo8bhOyUWKpn,rap
50co4Is1HCEo8bhOyUWKpn,trap
0DbBBj0ScPumRqKXswGQH1,alternative r&b
0DbBBj0ScPumRqKXswGQH1,viral rap
6KImCVD70vtIoJWnq6nGn3,pop
2CuzDPkRD6BJBvdWqCrt2I,uk reggae
3wcj11K77LjEY1PkEazffa,afrobeats
3wcj11K77LjEY1PkEazffa,azontobeats
3wcj11K77LjEY1PkEazffa,dancehall
3wcj11K77LjEY1PkEazffa,nigerian hip hop
3wcj11K77LjEY1PkEazffa,nigerian pop
5CXdWANGwYYRPClH6hhC0P,pov: indie
4QQgXkCYTt3BlENzhyNETg,disco
4QQgXkCYTt3BlENzhyNETg,funk
4QQgXkCYTt3BlENzhyNETg,jazz funk
4QQgXkCYTt3BlENzhyNETg,soul
3TVXtAsR1Inumwj472S9r4,canadian hip hop
3TVXtAsR1Inumwj472S9r4,canadian pop
3TVXtAsR1Inumwj472S9r4,hip hop
3TVXtAsR1Inumwj472S9r4,pop rap
3TVXtAsR1Inumwj472S9r4,rap
4q3ewBCX7sLwd24euuV69X,reggaeton
4q3ewBCX7sLwd24euuV69X,trap latino
4q3ewBCX7sLwd24euuV69X,urbano latino
5n9bMYfz9qss2VOW89EVs2,cumbia
5n9bMYfz9qss2VOW89EVs2,latin alternative
5n9bMYfz9qss2VOW89EVs2,latin rock
5n9bMYfz9qss2VOW89EVs2,pop electronico
5n9bMYfz9qss2VOW89EVs2,tropical alternativo
1kMPdZQVdUhMDKDWOJM5iK,alternative r&b
1kMPdZQVdUhMDKDWOJM5iK,australian hip hop
5qfkUSH3ip5dD2eEPhjkT3,alternative r&b
3xPCFC8f7U3raEXOXQ3MrE,transpop
1XkoF8ryArs86LZvFOkbyr,dance pop
1XkoF8ryArs86LZvFOkbyr,hip pop
1XkoF8ryArs86LZvFOkbyr,neo soul
1XkoF8ryArs86LZvFOkbyr,r&b
1XkoF8ryArs86LZvFOkbyr,urban contemporary
3AuMNF8rQAKOzjYppFNAoB,atl hip hop
3AuMNF8rQAKOzjYppFNAoB,dance pop
3AuMNF8rQAKOzjYppFNAoB,hip pop
3AuMNF8rQAKOzjYppFNAoB,r&b
3AuMNF8rQAKOzjYppFNAoB,urban contemporary
0tbeZu9lv8YEKSQ9tZSslu,alternative r&b
0tbeZu9lv8YEKSQ9tZSslu,indie soul
0tbeZu9lv8YEKSQ9tZSslu,nyc pop
